

;TC_CHEMBUR;HR_CHEMBUR;RG_CHEMBUR;WS_CHEMBUR;WD_CHEMBUR;TEMP;HUM;RG_BHANDUP;WS;WD;TEMP;HUM;RG_BKC;WS;WD;TEMP;HUM;RG_COLABA;WS_COLABA;WD_COLABA;TEMP;HUM;RG_ANDHERI;WS;WD;TEMP;HUM;RG_MALAD;WS;WD;TEMP;HUM;RG_MAZGAON;WS;WD;TEMP;HUM;RG_WORLI;WS;WD;TEMP;HUM;RG_BORIVALI;WS;WD;TEMP;HUM;RG_NAVI MUMBAI;WS;WD;TEMP R SOUTH 1;HUMIDITY_R SOUTH 1;RG_R_SOUTH_1;WS_R_SOUTH1;WD_R SOUTH 1;TEMP_CHARKOP;HUM_CHARKOP;RG_CHARKOP;WS_CHARKOP;WD_CHARKOP;TEMP_AWS3;HUM_AWS3;RG_LOKHANDWALA;WS_AWS3;WD_AWS3;TEMP_GOREGAON;HUM_GOREGAON;RG_GOREGAON;WS_GOREGAON;WD_GOREGAON;TEMP_AWS5;HUM_AWS5;RG_DUMPYARD;WS_AWS5;WD_AWS5;TEMP_AWS6;HUM_AWS6;RG_BANDRA;WS_AWS6;WD_AWS6;TEMP_AWS7;HUM_AWS7;RG_CD DESHMUKH;WS_AWS7;WD_AWS7;TEMP_AWS8;HUM_AWS8;RG_LGPWORLI;WS_AWS8;WD_AWS8;TEMP_AWS9;HUM_AWS9;RG_NSC;WS_AWS9;WD_AWS9;TEMP_AWS10;HUM_AWS10;RG_RAJAWADI;WS_AWS10;WD_AWS10;TEMP_AWS11;HUM_AWS11;RG_SPG;WS_AWS11;WD_AWS11;TEMP_AWS12;HUM_AWS12;RG_DKP;WS_AWS12;WD_AWS12;TEMP_AWS13;HUM_AWS13;RG_SILVASA;WS_AWS13;WD_AWS13;TEMP_AWS14;HUM_AWS14;RG_SHIVAJIPARK;WS_AWS14;WD_AWS14;TEMP_AWS15;RH_AWS15;RG_PANVEL;WS_AWS15;WD_AWS15;TEMP_AWS16;HUM_AWS16;RG_SANTACRUZ;WS_AWS16;WD_AWS16;TEMP_AWS17;HUM_AWS17;RG_KJSOMAIYA;WS_AWS17;WD_AWS17;TEMP_AWS18;HUM_AWS18;RG_IITPOWAI;WS_AWS18;WD_AWS18;TEMP_AWS19;HUM_AWS19;RG_KALIDAS;WS_AWS19;WD_AWS19;TEMP;HUM;RAIN;WS;WD
;degreC;%;m m;m/s;degre;degreC;%;m m;m/s;degre;degreC;%;mm;m/s;degre;degreC;%;m m;m/s;degre;degreC;%;m m;m/s;DEGREE;degreC;%;m m;m/s;degre;degreC;%;m m;m/s;degre;degreC;%;m m;m/s;degre;degreC;%;m m;m/s;degre;degreC;%;mm;m/s;degre;degreC;%;MM;MM;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;degre;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;DEGREE;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;MM;m/s;DEGREE;degreC;%;m m;m/s;degre
2020-06-03 00:15:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.64;97.43;0.00;2.53;79.33;Invalid;Invalid;Invalid;Invalid;Invalid;26.96;98.66;0.00;1.06;108.14;24.73;98.08;0.00;0.31;30.24;24.21;93.26;0.00;0.43;31.43;23.66;40.24;0.00;0.27;84.09;23.99;99.55;0.00;1.92;66.26;Invalid;Invalid;0.00;1.13;141.34;24.20;90.22;0.00;0.27;289.80;Invalid;Invalid;Invalid;Invalid;Invalid;23.58;99.60;0.00;0.00;177.45;23.83;99.71;0.00;0.00;250.79;26.20;Invalid;0.00;0.10;269.29;23.07;99.18;0.20;0.10;308.98;25.01;94.58;0.00;0.00;257.68;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.50;100.00;0.00;0.20;170.10;23.72;90.66;0.00;0.30;178.32;23.64;87.09;0.00;0.20;149.86;23.77;77.43;0.00;0.80;142.63;22.05;99.41;0.00;0.00;308.12;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;22.36;100.00;0.00;1.10;178.77;24.32;97.80;0.00;0.00;194.00;Invalid;Invalid;Invalid;Invalid;Invalid;
2020-06-03 00:30:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.56;96.75;0.00;2.32;75.91;Invalid;Invalid;Invalid;Invalid;Invalid;26.95;96.70;0.00;1.25;108.22;24.48;97.81;0.00;0.36;29.26;24.29;90.83;0.00;0.32;31.92;23.51;42.87;0.00;0.35;64.46;23.78;99.55;0.00;2.24;54.52;Invalid;Invalid;0.00;0.81;142.04;24.30;90.14;0.00;0.21;289.75;Invalid;Invalid;Invalid;Invalid;Invalid;23.69;99.59;0.00;0.00;198.67;23.68;99.71;0.00;0.00;247.33;26.20;Invalid;0.00;0.00;274.65;23.00;99.19;0.00;0.10;308.32;24.93;93.88;0.00;0.00;196.84;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.30;100.00;0.00;0.40;138.81;23.74;89.49;0.00;0.60;130.86;22.73;94.29;0.00;0.00;201.86;23.74;76.49;0.00;0.70;89.31;22.13;98.16;0.00;0.00;304.63;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;22.30;100.00;0.00;1.20;175.81;24.14;97.40;0.00;0.00;150.00;Invalid;Invalid;Invalid;Invalid;Invalid;
2020-06-03 00:45:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.58;96.17;0.00;2.72;79.88;Invalid;Invalid;Invalid;Invalid;Invalid;27.28;92.11;0.00;2.85;111.64;24.39;96.73;0.00;0.48;32.34;24.29;88.92;0.00;0.20;58.17;23.46;36.44;0.00;0.49;45.39;23.77;99.55;0.00;2.78;57.11;Invalid;Invalid;0.00;0.78;145.79;24.47;87.80;0.00;0.17;289.55;Invalid;Invalid;Invalid;Invalid;Invalid;23.74;99.57;0.00;0.00;210.20;23.61;99.70;0.00;0.00;255.29;26.20;Invalid;0.00;0.00;278.85;22.96;99.18;0.00;0.00;308.21;24.94;92.83;0.00;0.00;204.37;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.30;100.00;0.00;0.40;115.18;23.80;88.51;0.00;0.40;128.38;22.32;97.58;0.00;0.00;157.84;23.76;75.50;0.00;0.60;118.95;22.50;94.42;0.00;0.00;297.25;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;22.29;100.00;0.00;1.30;175.02;24.20;97.30;0.00;0.00;197.00;Invalid;Invalid;Invalid;Invalid;Invalid;
2020-06-03 01:00:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.47;95.38;0.00;3.06;75.38;Invalid;Invalid;Invalid;Invalid;Invalid;27.73;87.03;0.00;1.45;107.39;24.62;93.29;0.00;0.58;38.45;24.48;85.49;0.00;0.75;62.11;23.52;43.00;0.00;0.35;78.34;23.90;99.54;0.00;2.56;54.83;Invalid;Invalid;0.00;1.08;1.52;24.81;85.37;0.00;0.31;289.45;Invalid;Invalid;Invalid;Invalid;Invalid;23.89;99.56;0.00;0.00;190.35;23.72;99.69;0.00;0.00;230.30;26.40;Invalid;0.00;0.10;280.77;22.93;99.18;0.00;0.00;309.09;25.05;91.60;0.00;0.00;247.20;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.30;100.00;0.00;0.30;132.91;23.69;89.35;0.20;0.40;128.55;22.22;99.33;0.00;0.00;156.25;23.81;74.51;0.00;0.80;33.42;23.18;87.91;0.00;0.00;281.80;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;22.55;99.96;0.00;1.10;201.85;24.19;96.70;0.00;0.00;178.00;Invalid;Invalid;Invalid;Invalid;Invalid;
2020-06-03 01:15:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.50;94.40;0.00;2.84;73.84;Invalid;Invalid;Invalid;Invalid;Invalid;27.93;85.89;0.00;2.07;107.19;24.85;89.35;0.00;0.36;27.26;24.76;83.50;0.00;0.57;48.94;23.45;42.49;0.00;0.45;76.47;24.03;99.53;0.00;2.84;54.66;Invalid;Invalid;0.00;1.12;0.56;24.95;85.09;0.00;0.33;290.88;Invalid;Invalid;Invalid;Invalid;Invalid;24.11;99.55;0.00;0.00;199.37;23.87;99.68;0.00;0.00;154.60;26.60;99.55;0.00;0.20;280.08;22.99;99.19;0.00;0.00;309.60;25.22;90.46;0.00;0.00;239.31;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.30;100.00;0.00;0.50;119.07;23.61;90.15;0.00;0.30;163.51;22.01;99.76;0.00;0.20;117.14;23.89;73.36;0.00;1.30;95.14;23.54;84.57;0.00;0.00;273.31;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;22.91;99.79;0.00;1.30;171.66;24.18;96.10;0.00;0.00;126.00;Invalid;Invalid;Invalid;Invalid;Invalid;
2020-06-03 01:30:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.46;93.92;0.20;2.99;80.06;Invalid;Invalid;Invalid;Invalid;Invalid;27.94;86.07;0.00;1.17;104.19;25.06;87.06;0.00;0.51;36.82;24.69;84.31;0.40;0.41;56.20;23.48;32.91;0.00;0.38;67.44;24.13;99.52;0.00;2.44;56.03;Invalid;Invalid;0.00;1.79;0.00;25.03;85.33;0.00;0.36;290.97;Invalid;Invalid;Invalid;Invalid;Invalid;24.28;99.54;0.00;0.00;197.46;23.93;99.66;0.00;0.00;154.25;26.70;98.96;0.00;0.10;278.20;22.96;99.19;0.00;0.00;308.37;25.25;90.01;0.00;0.00;223.76;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.20;100.00;0.00;0.20;135.98;23.60;89.98;0.00;0.50;129.11;22.11;99.03;0.00;0.60;104.79;23.98;72.53;0.00;1.00;160.83;23.61;83.70;0.00;0.00;272.86;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;23.04;99.74;0.20;1.10;183.56;24.26;95.30;0.00;0.00;163.00;Invalid;Invalid;Invalid;Invalid;Invalid;
2020-06-03 01:45:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.30;95.19;0.20;2.36;79.74;Invalid;Invalid;Invalid;Invalid;Invalid;27.95;85.37;0.00;1.08;106.30;25.21;85.95;0.00;0.47;40.25;24.67;84.37;0.00;0.27;29.22;23.56;50.06;0.00;0.44;66.62;24.16;99.51;0.00;2.29;54.00;Invalid;Invalid;0.00;0.76;0.00;25.18;84.48;0.00;0.08;290.78;Invalid;Invalid;Invalid;Invalid;Invalid;24.36;99.53;0.00;0.00;188.82;24.10;99.64;0.00;0.00;184.78;26.70;98.87;0.00;0.20;278.01;22.94;99.19;0.00;0.00;307.92;25.29;89.45;0.00;0.00;229.01;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.20;100.00;0.00;0.30;147.43;23.61;89.34;0.00;0.40;132.74;22.42;98.10;0.00;0.30;105.41;23.98;72.35;0.20;0.30;159.01;23.73;82.78;0.00;0.00;272.72;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;23.11;99.72;0.00;0.90;184.96;24.32;94.60;0.20;0.00;175.00;Invalid;Invalid;Invalid;Invalid;Invalid;
2020-06-03 02:00:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.23;95.89;0.00;2.99;76.45;Invalid;Invalid;Invalid;Invalid;Invalid;28.08;83.88;0.00;0.72;111.74;25.15;86.48;0.00;0.40;30.59;24.83;83.25;0.20;0.38;51.10;23.68;36.14;0.00;0.64;60.20;24.11;99.51;0.20;2.61;57.92;Invalid;Invalid;0.00;0.52;0.00;25.36;83.22;0.00;0.11;290.58;Invalid;Invalid;Invalid;Invalid;Invalid;24.49;99.53;0.00;0.00;194.83;24.29;99.62;0.00;0.00;191.98;26.90;97.09;0.00;0.10;274.78;22.93;99.19;0.00;0.00;307.94;25.44;88.98;0.00;0.00;245.29;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.20;100.00;0.00;0.30;136.56;23.63;89.20;0.00;0.20;134.27;22.54;98.35;0.00;0.20;135.43;23.94;72.13;0.00;0.70;143.43;23.82;82.58;0.00;0.00;273.23;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;23.18;99.71;0.00;1.10;170.03;24.41;93.60;0.00;0.00;177.00;Invalid;Invalid;Invalid;Invalid;Invalid;
2020-06-03 02:15:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.22;95.22;0.00;3.26;77.23;Invalid;Invalid;Invalid;Invalid;Invalid;27.94;85.47;0.00;0.04;97.16;25.09;87.18;0.00;0.18;38.19;24.96;82.21;0.00;0.50;43.20;23.82;50.81;0.00;0.47;51.47;24.20;99.51;0.00;2.74;52.11;Invalid;Invalid;0.00;1.14;0.00;25.37;83.39;0.00;0.27;290.48;Invalid;Invalid;Invalid;Invalid;Invalid;24.54;99.53;0.00;0.00;177.89;24.51;99.59;0.00;0.00;173.67;27.10;95.49;0.00;0.10;273.10;22.96;99.19;0.00;0.00;308.07;25.51;89.05;0.00;0.00;196.32;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.30;100.00;0.00;0.30;135.93;23.68;88.88;0.00;0.50;109.99;22.59;98.79;0.00;0.10;137.97;24.00;71.99;0.00;0.50;166.21;23.56;84.45;0.00;0.00;278.85;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;23.19;99.70;0.00;1.20;187.22;24.47;93.20;0.00;0.00;177.00;Invalid;Invalid;Invalid;Invalid;Invalid;
2020-06-03 02:30:00+00:00;Invalid;Invalid;Invalid;Invalid;Invalid;25.31;94.69;0.00;3.28;79.92;Invalid;Invalid;Invalid;Invalid;Invalid;27.66;87.87;0.00;0.00;89.84;25.21;86.93;0.00;0.37;36.70;24.92;82.78;0.00;0.21;71.73;23.86;53.73;0.20;0.38;69.16;24.25;99.50;0.20;2.37;56.98;Invalid;Invalid;0.00;1.56;0.00;25.34;83.56;0.00;0.07;290.27;Invalid;Invalid;Invalid;Invalid;Invalid;24.41;99.55;0.00;0.00;180.72;24.77;99.55;0.00;0.00;152.68;27.10;95.18;0.00;0.10;275.83;22.96;99.19;0.00;0.00;307.94;25.50;89.20;0.00;0.00;221.99;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;25.20;100.00;0.00;0.40;143.41;23.75;88.31;0.00;0.40;126.97;22.59;98.65;0.00;0.10;150.55;23.98;72.27;0.00;0.20;167.05;23.39;85.29;0.20;0.00;282.10;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;Invalid;23.13;99.71;0.00;1.20;160.84;24.63;92.30;0.00;0.00;156.00;Invalid;Invalid;Invalid;Invalid;Invalid;
